HLT,L1,Trigger_Names,"COMA
PSLink","PSCorr StableLum (nb-1)
(Ready)","MIN_PS
(SBR)","MAX_PS
(SBR)","PS FLAG
(SBR)","PT FLAG
(SBR)","RR FLAG
(SBR)",StreamInfo,"STP
Max"
,,,,,,,,,,,
1783,1,"HLT_noalg_L1TRT_FILLED
L1_TRT_FILLED",HLTps,,,,,,,"IDCosmic,physics,1",
1782,2,"HLT_noalg_L1TRT_EMPTY
L1_TRT_EMPTY",HLTps,912522,1,1,0,-1,-1,"IDCosmic,physics,1;
express,express,1",0
467,19,"HLT_j0_perf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.39E-01,6563856,6563869,0,-1,-1,"Main,physics,1",
468,19,"HLT_j0_perf_pf_ftf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.39E-01,6563856,6563869,0,-1,-1,"Main,physics,1",
469,19,"HLT_j15_pf_ftf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.41,648325,648325,0,-1,-1,"Main,physics,1",
470,19,"HLT_j25_pf_ftf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.37,666153,666166,0,-1,-1,"Main,physics,1",
471,19,"HLT_j35_pf_ftf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,5.56,164123,164123,0,-1,-1,"Main,physics,1",
472,19,"HLT_j45_pf_ftf_preselj20_L1RD0_FILLED
L1_RD0_FILLED",HLTps,19.9,45934,45947,0,-1,-1,"Main,physics,1",
478,19,"HLT_j15_L1RD0_FILLED
L1_RD0_FILLED",HLTps,6.64E-01,1375049,1375049,0,-1,-1,"Main,physics,1",
479,19,"HLT_j25_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.02,894549,894562,0,-1,-1,"Main,physics,1",
480,19,"HLT_j35_L1RD0_FILLED
L1_RD0_FILLED",HLTps,3.54,257592,257592,0,-1,-1,"Main,physics,1",
481,19,"HLT_j45_L1RD0_FILLED
L1_RD0_FILLED",HLTps,14.6,62435,62435,0,-1,-1,"Main,physics,1",
554,19,"HLT_j15f_L1RD0_FILLED
L1_RD0_FILLED",HLTps,2.75,331501,331501,0,-1,-1,"Main,physics,1",
555,19,"HLT_j25f_L1RD0_FILLED
L1_RD0_FILLED",HLTps,11.4,80263,80276,0,-1,-1,"Main,physics,1",
556,19,"HLT_j35f_L1RD0_FILLED
L1_RD0_FILLED",HLTps,39.3,18812,26255,0,-1,-1,"Main,physics,1",
764,19,"HLT_j25_020jvt_pf_ftf_L1RD0_FILLED
L1_RD0_FILLED",HLTps,1.59,575703,575703,0,-1,-1,"Main,physics,1",
