Trigger_Names,Period Range,Run Range,# Runs,Date Range,"SBReady
StableLum (nb-1)","SBReady
PSCorr StableLum (nb-1)","SBReady
MIN_PS","SBReady
MAX_PS"
"HLT_10j35_pf_ftf_presel7j30_L14J15
L1_4J15",E1: H7,480862:28:00,40,24-Apr-10: 24-May-06,"12,613,461","12,558,586",1,1
"HLT_10j35_pf_ftf_presel7j30_L14jJ40
L1_4jJ40",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_10j40_ftf_presel7j30_L14J15
L1_4J15",E1: H7,480862:28:00,40,24-Apr-10: 24-May-06,"12,613,461","6,279,293",2,2
"HLT_10j40_ftf_presel7j30_L14jJ40
L1_4jJ40",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","28,038,709",2,2
"HLT_10j40_L14J15
L1_4J15",E1: H7,480862:28:00,40,24-Apr-10: 24-May-06,"12,613,461","6,279,293",2,2
"HLT_10j40_L14jJ40
L1_4jJ40",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","28,038,709",2,2
"HLT_2e12_lhloose_mu10_L12eEM10L_MU8F
L1_2eEM10L_MU8F",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,015,441",1,1
"HLT_2e17_lhvloose_g20_tight_probe_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e17_lhvloose_g22_tight_probe_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e17_lhvloose_g25_medium_probe_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e17_lhvloose_g35_medium_probe_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e17_lhvloose_g50_loose_probe_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e17_lhvloose_L12eEM18M
L1_2eEM18M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_g20_tight_probe_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_g22_tight_probe_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_g25_medium_probe_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_g35_medium_probe_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_g50_loose_probe_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2e24_lhvloose_L12eEM24L
L1_2eEM24L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2g10_loose_L1eEM9_mu20_L1MU14FCH
L1_MU14FCH",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","55,990,644",1,2
"HLT_2g10_loose_L1eEM9_mu23_L1MU18VFCH
L1_MU18VFCH",E1: M19,480963:07:00,124,24-Apr-10: 24-Jul-28,"56,247,197","55,965,847",1,1
"HLT_2g13_loose_L113DR25-25M70-2eEM12L
L1_13DR25-25M70-2eEM12L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","723,539",10.9,123
"HLT_2g13_loose_L12DR15-0M30-2eEM12L
L1_2DR15-0M30-2eEM12L",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","625,104",12.9,130
"HLT_2g15_loose_25dphiAA_invmAA80_L12eEM9
L1_2eEM9",E1: M19,480963:07:00,61,24-Apr-10: 24-Jul-28,"39,041,661","103,471",50,100
"HLT_2g15_tight_25dphiAA_invmAA80_L12eEM9
L1_2eEM9",E1: M19,480963:07:00,61,24-Apr-10: 24-Jul-28,"39,041,661","103,471",50,100
"HLT_2g15_tight_25dphiAA_invmAA80_­L1DPHI-M70-2eEM15M
L1_DPHI-M70-2eEM15M",E1: M19,480963:07:00,126,24-Apr-10: 24-Jul-28,"56,296,002","56,077,418",1,1
"HLT_2g15_tight_25dphiAA_L12eEM9
L1_2eEM9",E1: M19,480963:07:00,61,24-Apr-10: 24-Jul-28,"39,041,661","103,471",50,100
