
Metric	DT	PS	TAP 	TAV	TBP
L1_RD0_FILLED	0.37	4409.22	49582.10	31737.30	26442000.00
L1_jJ90_UNPAIRED_ISO	0.01	1.00	25860.20	0.17	25861.60
L1_eEM26T	0.04	1.00	10377.80	9913.50	10377.70
L1_eEM28M	0.04	1.00	9396.64	8972.95	9396.68
L1_2MU3VF	0.05	2.00	5737.39	5432.97	11465.30
L1_jJ60_EMPTY	0.02	5.00	5246.24	0.00	26236.40
L1_MU14FCH	0.06	1.00	4847.53	4591.39	4847.50
L1_MU5VF_2MU3VF	0.05	2.00	4219.95	3993.12	8427.37
L1_jXE100	0.01	7.00	3900.21	190.82	27311.10
L1_MU18VFCH	0.06	1.00	3781.75	3571.49	3781.71
L1_jXE120	0.01	7.00	3676.87	58.40	25727.50
L1_2MU5VF	0.06	1.00	3555.08	3356.30	3554.76
L1_jJ85p0ETA21_3jJ40p0ETA25	0.04	1.00	3078.25	2939.70	3078.19
L1_cTAU30M_2cTAU20M_DR-eTAU30eTAU20-jJ55	0.04	1.00	2642.04	2529.55	2641.95
L1_2eEM9	0.04	50.00	2606.27	2491.32	130073.00
L1_LFV-MU5VF	0.06	1.00	2308.36	2176.87	2308.29
L1_cTAU30M_2cTAU20M_DR-eTAU30MeTAU20M-jJ55	0.04	1.00	2213.41	2118.64	2213.40
L1_BPH-2M9-0DR15-C-MU5VFMU3V	0.05	1.00	2141.35	2030.51	2141.41
L1_BPH-2M9-0DR15-2MU3VF	0.05	1.00	1921.91	1823.05	1922.12
L1_cTAU35M_2cTAU30M_2jJ55_3jJ50	0.05	1.00	1761.71	1682.13	1761.68
L1_eTAU60_2eTAU20M_jXE80	0.04	1.00	1739.43	1661.43	1739.49
L1_eTAU80_2eTAU60	0.04	1.00	1652.15	1577.41	1652.31
L1_MU8F_cTAU30M	0.05	1.00	1559.01	1488.14	1558.99
L1_SC111-CjJ40	0.05	1.00	1548.97	1479.78	1549.02
L1_jXE110	0.05	1.00	1498.66	1430.31	1498.90
L1_jJ80p0ETA25_2jJ55_jJ50p30ETA49	0.04	1.00	1440.05	1376.80	1440.06
L1_MU8F_2jJ40_jJ50	0.05	1.00	1361.33	1301.07	1361.41
L1_eEM26M	0.01	15.00	1322.84	446.10	19853.20
L1_4jJ40	0.04	1.00	1309.99	1252.43	1310.06
L1_MU8VF_2MU5VF	0.05	1.00	1296.88	1230.30	1296.71
L1_eEM18M_2eTAU20M_jXE70	0.04	1.00	1225.47	1170.28	1225.56
L1_2MU8F	0.06	1.00	1179.49	1102.21	1179.40
L1_jJ60_FIRSTEMPTY	0.00	10.00	1123.53	0.00	11241.20
L1_4jJ30p0ETA24_0DETA24-eTAU30eTAU12	0.04	1.00	1080.23	1033.64	1080.29
L1_cTAU20M_cTAU12M_4jJ30p0ETA24_0DETA24-eTAU30eTAU12	0.04	1.00	1046.11	1000.82	1046.17
L1_2jJ40_jXE110	0.05	1.00	1002.02	956.60	1002.18
L1_RD0_BGRP15	0.04	6551.04	996.62	958.47	6567380.00
L1_cTAU30M_2cTAU20M_4jJ30p0ETA25	0.04	1.00	977.29	935.60	977.35
L1_HT190-jJ40s5pETA21	0.04	1.00	930.18	889.10	930.33
L1_ZAFB-25DPHI-eEM18M	0.05	1.00	930.18	889.79	930.03
L1_LFV-MU8VF	0.05	1.00	886.36	840.54	886.28
L1_TAU20IM_2TAU12IM_4J12p0ETA25	0.04	1.00	885.06	847.63	885.21
L1_4jJ40p0ETA25	0.04	1.00	873.16	835.18	873.30
L1_3jJ40p0ETA25_jXE80	0.05	1.00	823.64	785.23	823.68
L1_eTAU140	0.04	1.00	769.14	735.46	769.29
L1_eTAU80_2cTAU30M_DR-eTAU30eTAU20	0.04	1.00	768.21	734.27	768.27
L1_2jJ90_jXE80	0.04	1.00	741.64	709.47	741.76
L1_jJ180	0.04	1.00	736.23	703.95	736.36
L1_4jJ50	0.04	1.00	727.83	696.29	727.82
L1_jMJJ-500-NFF	0.05	1.00	703.86	672.48	704.01
L1_MU5VF	0.05	392.88	657.10	625.57	257608.00
L1_BPH-8M15-0DR22-MU5VFMU3V-BO	0.06	1.00	649.36	613.70	649.30
L1_2eEM18M	0.04	1.00	638.29	610.97	638.37
L1_eEM18L_MU8F	0.05	1.00	624.69	595.70	624.77
L1_jJ60p30ETA49	0.01	10.00	624.05	617.67	6225.23
L1_jJ90_UNPAIRED_NONISO	0.00	1.00	599.28	0.00	599.32
L1_2DR15-0M30-2eEM12L	0.04	1.00	582.56	557.28	582.58
L1_BPH-7M14-0DR25-MU5VFMU3VF	0.05	3.00	581.97	551.96	1737.56
L1_gLJ140p0ETA25	0.05	1.00	538.48	514.80	538.62
L1_cTAU20M_DR-eTAU20eTAU12-jJ40	0.04	11.40	501.37	477.78	5716.39
L1_MU3V	0.05	2169.56	476.58	454.45	1027720.00
L1_3jJ70p0ETA23	0.05	1.00	474.66	452.35	474.72
L1_BPH-2M9-2DR15-2MU5VF	0.06	1.00	467.96	441.52	468.04
